profile,profile_fingerprint,query_id,family_id,hard_gate_passed,recall_at_8,precision_at_8,returned_precision_at_8,mrr_at_8,ndcg_at_8,all_required_recalled_at_8,strict_lexical_only_recall_at_8,dangerous_hit_at_8,no_answer_false_positive,hotness_pair_accuracy
ablation-0-vector-raw,0a248a52668b818f,personal_dietary_update_zh,personal_dietary_update,True,0.5,0.125,0.125,1.0,0.6272273701623994,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_identifier_lexical_mixed,project_identifier_lexical,True,0.0,0.0,0.0,0.0,0.24079667256374648,False,0.0,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_reply_language_zh,personal_reply_language,True,0.5,0.125,0.125,0.3333333333333333,0.41847809516110057,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_storage_adr_en,project_storage_adr,True,1.0,0.125,0.125,1.0,0.8609101556836468,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,stress_unknown_city_abstention_zh,stress_unknown_city_abstention,True,,,,,,,,False,True,
ablation-0-vector-raw,0a248a52668b818f,personal_appointment_time_zh,personal_appointment_time,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_current_release_version_mixed,project_current_release_version,True,1.0,0.25,0.25,1.0,0.8146656240744838,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,stress_cross_user_region_zh,stress_cross_user_region,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_hotness_contact_zh,personal_hotness_contact,True,1.0,0.25,0.25,1.0,0.8497189268078151,True,,False,,0.0
ablation-0-vector-raw,0a248a52668b818f,project_multi_evidence_release_mixed,project_multi_evidence_release,True,1.0,0.25,0.6666666666666666,1.0,0.9651194532279319,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_medicine_instruction_zh,personal_medicine_instruction,True,1.0,0.125,0.25,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_airport_pickup_mixed,personal_airport_pickup,True,0.0,0.0,0.0,0.0,0.08268058728704288,False,0.0,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_gift_preferences_zh,personal_gift_preferences,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_unknown_emergency_contact_zh,personal_unknown_emergency_contact,True,,,,,,,,False,True,
ablation-0-vector-raw,0a248a52668b818f,personal_two_character_cjk_zh,personal_two_character_cjk,True,0.0,0.0,0.0,0.0,0.0,False,0.0,False,,
ablation-0-vector-raw,0a248a52668b818f,project_api_contract_update_mixed,project_api_contract_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_incident_root_cause_en,project_incident_root_cause,True,1.0,0.25,0.5,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_deploy_rollback_mixed,project_deploy_rollback,True,1.0,0.25,0.6666666666666666,1.0,0.8021240349919841,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_test_ownership_en,project_test_ownership,True,1.0,0.25,0.3333333333333333,1.0,0.9721212198129313,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,stress_same_term_different_meaning_mixed,stress_same_term_different_meaning,True,1.0,0.125,0.125,1.0,0.8609101556836468,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_coffee_update_zh,personal_coffee_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_train_seat_mixed,personal_train_seat,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_weekly_class_zh,personal_weekly_class,True,1.0,0.125,0.125,1.0,0.9914741064026341,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_allergy_restaurant_en,personal_allergy_restaurant,True,1.0,0.125,0.125,1.0,0.938506417451168,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_unknown_parking_zh,personal_unknown_parking,True,,,,,,,,False,True,
ablation-0-vector-raw,0a248a52668b818f,personal_shared_shopping_zh,personal_shared_shopping,True,1.0,0.25,0.25,1.0,0.9303557259460808,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_migration_decision_mixed,project_migration_decision,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_test_command_en,project_test_command,True,1.0,0.125,0.125,1.0,0.9916779671252834,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,project_feature_owner_zh,project_feature_owner,True,1.0,0.125,0.125,1.0,0.9047532849441353,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,stress_scope_channel_zh,stress_scope_channel,True,1.0,0.125,0.16666666666666666,1.0,0.9714916877216203,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_home_temperature_zh,personal_home_temperature,True,1.0,0.125,0.25,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_passport_expiry_mixed,personal_passport_expiry,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_bookmark_article_en,personal_bookmark_article,True,1.0,0.125,0.14285714285714285,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_family_birthday_zh,personal_family_birthday,True,1.0,0.125,0.14285714285714285,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_delivery_address_update_zh,personal_delivery_address_update,True,1.0,0.125,0.125,1.0,1.0,True,,False,,
ablation-0-vector-raw,0a248a52668b818f,personal_unknown_wifi_mixed,personal_unknown_wifi,True,,,,,,,,False,True,
ablation-0-vector-raw,0a248a52668b818f,project_env_variable_mixed,project_env_variable,True,1.0,0.125,0.125,1.0,0.9567687797312096,True,,False,,
